AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 1 | X: 0 | Y: 15 | Score: -147.5878
AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 1 | X: 1 | Y: 16 | Score: -130.3239
AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 1 | X: 2 | Y: 16 | Score: -135.3758
AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 1 | X: 3 | Y: 16 | Score: -139.7525
AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 0 | X: 0 | Y: 15 | Score: -147.5878
AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 1 | X: 4 | Y: 12 | Score: -192.5387
AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 1 | X: 5 | Y: 12 | Score: -176.0891
AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 1 | X: 6 | Y: 13 | Score: -134.8783
AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 0 | X: 1 | Y: 16 | Score: -130.3239
AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 0 | X: 2 | Y: 16 | Score: -135.3758
AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 0 | X: 3 | Y: 16 | Score: -139.7525
AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 1 | X: 7 | Y: 13 | Score: -157.4600
AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 0 | X: 4 | Y: 12 | Score: -192.5387
AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 0 | X: 5 | Y: 12 | Score: -176.0891
AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 0 | X: 6 | Y: 13 | Score: -134.8783
AI: 2025/04/17 10:33:09 ai.go:222: Tetrimino: Z | Rotation: 0 | X: 7 | Y: 13 | Score: -157.4600
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 3 | X: 0 | Y: 14 | Score: -160.6729
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 3 | X: 1 | Y: 14 | Score: -155.7309
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 3 | X: 2 | Y: 14 | Score: -166.2867
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 3 | X: 3 | Y: 15 | Score: -163.0242
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 3 | X: 4 | Y: 12 | Score: -202.6658
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 3 | X: 5 | Y: 12 | Score: -186.2712
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 3 | X: 6 | Y: 12 | Score: -165.4449
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 1 | X: 0 | Y: 14 | Score: -160.6729
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 1 | X: 1 | Y: 14 | Score: -155.7309
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 1 | X: 2 | Y: 14 | Score: -166.2867
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 2 | X: 0 | Y: 14 | Score: -160.6729
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 2 | X: 1 | Y: 14 | Score: -155.7309
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 2 | X: 2 | Y: 14 | Score: -166.2867
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 2 | X: 3 | Y: 15 | Score: -163.0242
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 2 | X: 4 | Y: 12 | Score: -202.6658
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 0 | X: 0 | Y: 14 | Score: -160.6729
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 0 | X: 1 | Y: 14 | Score: -155.7309
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 0 | X: 2 | Y: 14 | Score: -166.2867
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 3 | X: 7 | Y: 13 | Score: -167.9362
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 1 | X: 3 | Y: 15 | Score: -163.0242
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 1 | X: 4 | Y: 12 | Score: -202.6658
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 1 | X: 5 | Y: 12 | Score: -186.2712
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 2 | X: 5 | Y: 12 | Score: -186.2712
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 2 | X: 6 | Y: 12 | Score: -165.4449
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 2 | X: 7 | Y: 13 | Score: -167.9362
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 0 | X: 3 | Y: 15 | Score: -163.0242
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 0 | X: 4 | Y: 12 | Score: -202.6658
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 0 | X: 5 | Y: 12 | Score: -186.2712
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 0 | X: 6 | Y: 12 | Score: -165.4449
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 0 | X: 7 | Y: 13 | Score: -167.9362
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 1 | X: 6 | Y: 12 | Score: -165.4449
AI: 2025/04/17 10:33:10 ai.go:222: Tetrimino: J | Rotation: 1 | X: 7 | Y: 13 | Score: -167.9362
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 1 | X: 0 | Y: 13 | Score: -193.6610
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 1 | X: 1 | Y: 13 | Score: -177.3214
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 1 | X: 2 | Y: 13 | Score: -193.7710
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 0 | X: 0 | Y: 13 | Score: -193.6610
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 0 | X: 1 | Y: 13 | Score: -177.3214
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 0 | X: 2 | Y: 13 | Score: -193.7710
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 1 | X: 3 | Y: 13 | Score: -214.3773
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 0 | X: 3 | Y: 13 | Score: -214.3773
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 0 | X: 4 | Y: 13 | Score: -208.1351
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 0 | X: 5 | Y: 12 | Score: -212.2351
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 1 | X: 4 | Y: 13 | Score: -208.1351
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 0 | X: 6 | Y: 12 | Score: -191.4088
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 0 | X: 7 | Y: 13 | Score: -193.5785
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 1 | X: 5 | Y: 12 | Score: -212.2351
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 1 | X: 6 | Y: 12 | Score: -191.4088
AI: 2025/04/17 10:33:11 ai.go:222: Tetrimino: S | Rotation: 1 | X: 7 | Y: 13 | Score: -193.5785
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 3 | X: 0 | Y: 11 | Score: -236.7620
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 3 | X: 1 | Y: 11 | Score: -207.6753
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 1 | X: 0 | Y: 11 | Score: -236.7620
AI: 2025/04/17 10:33:12 ai.go:222: Tetrimino: T | Rotation: 1 | X: 1 | Y: 11 | Score: -207.6753
